edge,mode,matching_id,shots,e_XZ,e_ZX,e_YY,F,sigma_F,z_score,entangled_3sigma,entangled_meanonly,no_cz
0:1,parallel,0,1000,0.96,0.97,0.95,0.97,0.0038324274291889737,122.6376777340471,True,True,False
2:3,parallel,0,1000,0.916,0.916,0.89,0.9305,0.005754281015035675,74.81386447327182,True,True,False
4:5,parallel,0,1000,0.958,0.968,0.924,0.9625,0.004267874178089134,108.36776828483643,True,True,False
6:12,parallel,0,1000,0.924,0.938,0.934,0.9490000000000001,0.004962509445834839,90.47841720016417,True,True,False
7:8,parallel,0,1000,0.926,0.93,0.89,0.9365000000000001,0.005508652285269055,79.23898213130373,True,True,False
9:10,parallel,0,1000,0.92,0.93,0.928,0.9445,0.005169115011295453,85.9915089969341,True,True,False
11:19,parallel,0,1000,0.944,0.938,0.916,0.9494999999999999,0.004936876542916586,91.04947148110095,True,True,False
13:21,parallel,0,1000,0.904,0.916,0.9,0.9299999999999999,0.005775638492842154,74.45064308178328,True,True,False
14:15,parallel,0,1000,0.914,0.914,0.896,0.931,0.005735808574211659,75.14197770437929,True,True,False
16:17,parallel,0,1000,0.908,0.864,0.854,0.9065,0.006613074171669331,61.46914270846408,True,True,False
18:26,parallel,0,1000,0.77,0.772,0.782,0.831,0.008658781669496003,38.22708697761475,True,True,False
20:28,parallel,0,1000,0.856,0.846,0.82,0.8805,0.0074126075034362925,51.3314646463623,True,True,False
22:23,parallel,0,1000,0.912,0.896,0.918,0.9315,0.005715745795607078,75.49321041037825,True,True,False
24:25,parallel,0,1000,0.952,0.908,0.862,0.9305,0.005734697027742618,75.06935378057108,True,True,False
29:30,parallel,0,1000,0.848,0.828,0.854,0.8825,0.00735695249406981,51.99163652454195,True,True,False
31:32,parallel,0,1000,0.776,0.808,0.71,0.8235,0.008806460696556818,36.73439434374393,True,True,False
33:34,parallel,0,1000,0.758,0.772,0.788,0.8295000000000001,0.00869090041365105,37.91321776998444,True,True,False
35:36,parallel,0,1000,0.942,0.932,0.912,0.9465,0.005076095940779685,87.9613004184901,True,True,False
37:38,parallel,0,1000,0.904,0.892,0.884,0.9199999999999999,0.00615256044261249,68.26426232095011,True,True,False
39:40,parallel,0,1000,0.918,0.92,0.904,0.9355,0.0055546151981933,78.40327087673889,True,True,False
41:42,parallel,0,1000,0.552,0.49,0.522,0.641,0.011679875855504628,12.072046119698086,True,True,False
43:44,parallel,0,1000,0.912,0.926,0.912,0.9375,0.0054717227634448,79.95653634406099,True,True,False
46:47,parallel,0,1000,0.908,0.924,0.884,0.9289999999999999,0.005811110048863297,73.82410527295315,True,True,False
48:52,parallel,0,1000,0.934,0.966,0.938,0.9595,0.0044345518375592365,103.6181370365731,True,True,False
49:50,parallel,0,1000,0.918,0.93,0.916,0.9410000000000001,0.005322828195611802,82.85069211205526,True,True,False
0:4,parallel,1,1000,0.94,0.928,0.966,0.9584999999999999,0.004486507550422712,102.19530332826494,True,True,False
1:5,parallel,1,1000,0.97,0.974,0.978,0.9804999999999999,0.003101813985396288,154.90935377242204,True,True,False
2:8,parallel,1,1000,0.964,0.908,0.916,0.947,0.005044700189307586,88.60784253292826,True,True,False
3:9,parallel,1,1000,0.882,0.882,0.884,0.912,0.006435720627870666,64.01769495956432,True,True,False
7:15,parallel,1,1000,0.946,0.946,0.944,0.959,0.004465366726261127,102.79110947385118,True,True,False
10:11,parallel,1,1000,0.954,0.944,0.938,0.9589999999999999,0.004464470853303896,102.81173628008358,True,True,False
12:13,parallel,1,1000,0.94,0.972,0.938,0.9624999999999999,0.00427033371061326,108.30535301035772,True,True,False
14:22,parallel,1,1000,0.858,0.832,0.882,0.893,0.007043117207600624,55.79915659729354,True,True,False
16:24,parallel,1,1000,0.932,0.936,0.926,0.9485,0.004986256110550278,89.94724499831278,True,True,False
17:18,parallel,1,1000,0.718,0.778,0.734,0.8075,0.009152991314319051,33.59557432540586,True,True,False
19:20,parallel,1,1000,0.846,0.856,0.834,0.884,0.007314335239787688,52.49964452150901,True,True,False
21:29,parallel,1,1000,0.86,0.86,0.846,0.8915,0.007093500546274739,55.19136813284693,True,True,False
25:26,parallel,1,1000,0.866,0.9,0.848,0.9035,0.00671258147064153,60.11100226712585,True,True,False
28:36,parallel,1,1000,0.924,0.938,0.912,0.9435,0.005211981389068845,85.09239901166151,True,True,False
30:38,parallel,1,1000,0.928,0.918,0.91,0.9390000000000001,0.005408280687982087,81.1718224935174,True,True,False
31:39,parallel,1,1000,0.8,0.816,0.798,0.8535,0.008129191226684238,43.48526072798349,True,True,False
32:33,parallel,1,1000,0.952,0.938,0.926,0.954,0.004719480903658792,96.19702023755093,True,True,False
34:35,parallel,1,1000,0.764,0.772,0.746,0.8205,0.008887505274260039,36.061863268675744,True,True,False
40:41,parallel,1,1000,0.928,0.912,0.898,0.9345,0.0055939029308703595,77.67385408176824,True,True,False
42:43,parallel,1,1000,0.444,0.566,0.534,0.6359999999999999,0.011718980331069764,11.605105235942075,True,True,False
44:50,parallel,1,1000,0.948,0.954,0.938,0.96,0.00441117898072613,104.28051140293536,True,True,False
47:48,parallel,1,1000,0.942,0.948,0.924,0.9534999999999999,0.004744444119177715,95.5854866467683,True,True,False
51:52,parallel,1,1000,0.95,0.96,0.938,0.962,0.004301569481015042,107.40265896878685,True,True,False
3:4,parallel,2,1000,0.9,0.894,0.892,0.9215,0.006098667887334085,69.11345359129739,True,True,False
5:6,parallel,2,1000,0.952,0.938,0.932,0.9554999999999999,0.004645078040248625,98.06078521247396,True,True,False
8:9,parallel,2,1000,0.888,0.916,0.914,0.9295,0.005793336689680653,74.13689605940637,True,True,False
10:18,parallel,2,1000,0.812,0.858,0.806,0.869,0.0077251860819012,47.76583969472326,True,True,False
11:12,parallel,2,1000,0.928,0.938,0.894,0.94,0.005360363793624459,82.08398103937083,True,True,False
15:16,parallel,2,1000,0.948,0.95,0.95,0.962,0.0043033126774614005,107.35915203645901,True,True,False
17:25,parallel,2,1000,0.914,0.938,0.89,0.9355000000000001,0.0055489863939281745,78.48280191793837,True,True,False
20:21,parallel,2,1000,0.852,0.89,0.856,0.8995,0.006843153512818488,58.37951746247733,True,True,False
23:24,parallel,2,1000,0.924,0.932,0.938,0.9484999999999999,0.004985955274568756,89.95267211633612,True,True,False
26:34,parallel,2,1000,0.792,0.836,0.806,0.8585,0.008000796835315842,44.80803692171841,True,True,False
28:29,parallel,2,1000,0.858,0.912,0.862,0.908,0.006562430952017705,62.172082721046394,True,True,False
32:40,parallel,2,1000,0.932,0.956,0.93,0.9545,0.004694012143145775,96.82548449808841,True,True,False
33:41,parallel,2,1000,0.92,0.932,0.91,0.9405,0.005343664472999777,82.4340678996105,True,True,False
35:43,parallel,2,1000,0.892,0.92,0.868,0.9199999999999999,0.006146706435156961,68.32927591884823,True,True,False
36:37,parallel,2,1000,0.908,0.928,0.89,0.9315,0.005713208380586164,75.52673931275878,True,True,False
42:48,parallel,2,1000,0.538,0.56,0.532,0.6575,0.011494379061088944,13.702349571293752,True,True,False
47:51,parallel,2,1000,0.944,0.94,0.91,0.9485,0.004982243470566247,90.01968744595025,True,True,False
52:53,parallel,2,1000,0.944,0.952,0.934,0.9575,0.0045428790430738965,100.70706168096365,True,True,False
4:10,parallel,3,1000,0.958,0.934,0.93,0.9555,0.004643409307825446,98.09602595927842,True,True,False
5:11,parallel,3,1000,0.956,0.954,0.934,0.9610000000000001,0.004355972910843225,105.83169579692361,True,True,False
8:16,parallel,3,1000,0.91,0.96,0.902,0.9430000000000001,0.005224318137326631,84.79575484403604,True,True,False
9:17,parallel,3,1000,0.774,0.704,0.74,0.8045,0.009211772359323692,33.05552809192038,True,True,False
12:20,parallel,3,1000,0.83,0.862,0.852,0.886,0.00725496381796629,53.20495176614175,True,True,False
15:23,parallel,3,1000,0.932,0.932,0.928,0.948,0.005009790414777847,89.42489863018871,True,True,False
18:19,parallel,3,1000,0.864,0.824,0.782,0.8674999999999999,0.0077580764368495375,47.36998958329899,True,True,False
24:32,parallel,3,1000,0.94,0.938,0.936,0.9535,0.004746446038880039,95.54517133139197,True,True,False
25:33,parallel,3,1000,0.718,0.802,0.764,0.821,0.008865579507285466,36.207446984848744,True,True,False
29:37,parallel,3,1000,0.852,0.864,0.828,0.8859999999999999,0.007254377988497704,53.20924834796704,True,True,False
34:42,parallel,3,1000,0.542,0.54,0.488,0.6425,0.01166322211054904,12.217893018697888,True,True,False
36:44,parallel,3,1000,0.954,0.956,0.946,0.964,0.004191002266761498,110.71337366718855,True,True,False
40:46,parallel,3,1000,0.904,0.886,0.886,0.919,0.006188658982364433,67.7044899701223,True,True,False
41:47,parallel,3,1000,0.926,0.918,0.918,0.9405000000000001,0.005344833954389977,82.4160308363173,True,True,False
43:49,parallel,3,1000,0.916,0.92,0.904,0.9349999999999999,0.0055752130004153196,78.02392482001945,True,True,False
